"Key","Issue Type","Parent","Summary","Status","Assignee","Sprint","Start date","Inferred start date","Due date","Inferred due date","Issue color"
"L0BTLFD-1","Epic","","Thiết lập Môi trường & Quản lý Source","To Do","PHAM VAN PHU","","2025/09/30","2025/09/30","2025/10/01","2025/10/01","purple"
"L0BTLFD-9","Story","L0BTLFD-1","Tạo repo GitHub + branch main/dev.","Done","PHAM VAN PHU","L0BTLFD Sprint 1","","2025/09/30","2025/10/01","2025/10/05","purple"
"L0BTLFD-10","Story","L0BTLFD-1","Tích hợp Jira với GitHub.","Done","PHAM VAN PHU","L0BTLFD Sprint 1","2025/09/30","2025/09/30","2025/10/01","2025/10/05","purple"
"L0BTLFD-2","Epic","","Phân tích & Thiết kế","To Do","PHAM VAN PHU","","2025/10/01","2025/10/01","2025/10/02","2025/10/02","purple"
"L0BTLFD-13","Story","L0BTLFD-2","Thiết kế kiến trúc (React → API OCR → AWS Textract → DB).","Done","PHAM VAN PHU","L0BTLFD Sprint 1","2025/10/01","2025/09/30","2025/10/02","2025/10/05","purple"
"L0BTLFD-12","Story","L0BTLFD-2","Thiết kế Database (lưu metadata ảnh, kết quả OCR).","Done","PHAM VAN PHU","L0BTLFD Sprint 1","","2025/09/30","2025/10/02","2025/10/05","purple"
"L0BTLFD-11","Story","L0BTLFD-2","Phân tích yêu cầu OCR.","Done","PHAM VAN PHU","L0BTLFD Sprint 1","","2025/09/30","2025/10/02","2025/10/05","purple"
"L0BTLFD-3","Epic","","Backend (Python FastAPI / NodeJS Express)","To Do","PHAM VAN PHU","","2025/10/02","2025/10/02","2025/10/04","2025/10/04","purple"
"L0BTLFD-18","Story","L0BTLFD-3","Unit test API.","Done","PHAM VAN PHU","L0BTLFD Sprint 1","","2025/09/30","","2025/10/05","purple"
"L0BTLFD-17","Story","L0BTLFD-3","Lưu kết quả OCR vào DB (AWS RDS hoặc MongoDB).","Done","PHAM VAN PHU","L0BTLFD Sprint 1","","2025/09/30","","2025/10/05","purple"
"L0BTLFD-16","Story","L0BTLFD-3","API gọi AWS Textract (phân tích text từ ảnh).","Done","PHAM VAN PHU","L0BTLFD Sprint 1","","2025/09/30","","2025/10/05","purple"
"L0BTLFD-15","Story","L0BTLFD-3","API Upload ảnh (save S3).","Done","PHAM VAN PHU","L0BTLFD Sprint 1","","2025/09/30","","2025/10/05","purple"
"L0BTLFD-14","Story","L0BTLFD-3","Tạo service backend cơ bản.","Done","PHAM VAN PHU","L0BTLFD Sprint 1","","2025/09/30","","2025/10/05","purple"
"L0BTLFD-4","Epic","","Frontend (ReactJS)","To Do","PHAM VAN PHU","","2025/10/04","2025/10/04","2025/10/05","2025/10/05","purple"
"L0BTLFD-19","Story","L0BTLFD-4","Setup React + UI framework.","Done","PHAM VAN PHU","L0BTLFD Sprint 1","","2025/09/30","","2025/10/05","purple"
"L0BTLFD-20","Story","L0BTLFD-4","Trang upload ảnh (drag & drop).","Done","PHAM VAN PHU","L0BTLFD Sprint 1","","2025/09/30","","2025/10/05","purple"
"L0BTLFD-21","Story","L0BTLFD-4","Hiển thị kết quả OCR (text nhận diện được).","Done","PHAM VAN PHU","L0BTLFD Sprint 1","","2025/09/30","","2025/10/05","purple"
"L0BTLFD-22","Story","L0BTLFD-4","Kết nối API backend.","Done","PHAM VAN PHU","L0BTLFD Sprint 1","","2025/09/30","","2025/10/05","purple"
"L0BTLFD-5","Epic","","Database","To Do","PHAM VAN PHU","","2025/10/06","2025/10/06","2025/10/07","2025/10/07","purple"
"L0BTLFD-23","Story","L0BTLFD-5","Cấu hình AWS RDS (MySQL/Postgres) hoặc MongoDB Atlas.","To Do","PHAM VAN PHU","L0BTLFD Sprint 2","","2025/10/06","","2025/10/11","purple"
"L0BTLFD-24","Story","L0BTLFD-5","Kết nối backend với DB.","To Do","PHAM VAN PHU","L0BTLFD Sprint 2","","2025/10/06","","2025/10/11","purple"
"L0BTLFD-25","Story","L0BTLFD-5","Thêm chức năng tìm kiếm ảnh đã OCR.","To Do","PHAM VAN PHU","L0BTLFD Sprint 2","","2025/10/06","","2025/10/11","purple"
"L0BTLFD-6","Epic","","DevOps (CI/CD + AWS)","To Do","PHAM VAN PHU","","2025/10/07","2025/10/07","2025/10/09","2025/10/09","purple"
"L0BTLFD-26","Story","L0BTLFD-6","Dockerize backend service.","To Do","PHAM VAN PHU","L0BTLFD Sprint 2","","2025/10/06","","2025/10/11","purple"
"L0BTLFD-27","Story","L0BTLFD-6","Viết GitHub Actions pipeline (build, test, deploy).","To Do","PHAM VAN PHU","L0BTLFD Sprint 2","","2025/10/06","","2025/10/11","purple"
"L0BTLFD-28","Story","L0BTLFD-6","Deploy backend lên ECS/EC2.","To Do","PHAM VAN PHU","L0BTLFD Sprint 2","","2025/10/06","","2025/10/11","purple"
"L0BTLFD-29","Story","L0BTLFD-6","Deploy frontend lên AWS S3 + CloudFront.","To Do","PHAM VAN PHU","L0BTLFD Sprint 2","","2025/10/06","","2025/10/11","purple"
"L0BTLFD-30","Story","L0BTLFD-6","Giám sát hệ thống bằng CloudWatch.","To Do","PHAM VAN PHU","L0BTLFD Sprint 2","","2025/10/06","","2025/10/11","purple"
"L0BTLFD-7","Epic","","Testing & Demo","To Do","PHAM VAN PHU","","2025/10/09","2025/10/09","2025/10/10","2025/10/10","purple"
"L0BTLFD-31","Story","L0BTLFD-7","Viết test case end-to-end (upload ảnh → OCR → hiển thị).","To Do","PHAM VAN PHU","L0BTLFD Sprint 2","","2025/10/06","","2025/10/11","purple"
"L0BTLFD-32","Story","L0BTLFD-7","Test pipeline CI/CD.","To Do","PHAM VAN PHU","L0BTLFD Sprint 2","","2025/10/06","","2025/10/11","purple"
"L0BTLFD-33","Story","L0BTLFD-7","Demo AWS.","To Do","PHAM VAN PHU","L0BTLFD Sprint 2","","2025/10/06","","2025/10/11","purple"
"L0BTLFD-8","Epic","","Báo cáo & Hoàn thiện","To Do","PHAM VAN PHU","","2025/10/10","2025/10/10","2025/10/11","2025/10/11","purple"
"L0BTLFD-34","Story","L0BTLFD-8","Viết báo cáo (kiến trúc hệ thống, pipeline).","To Do","PHAM VAN PHU","L0BTLFD Sprint 2","","2025/10/06","","2025/10/11","purple"
"L0BTLFD-35","Story","L0BTLFD-8","Xuất WBS từ Jira.","To Do","PHAM VAN PHU","L0BTLFD Sprint 2","","2025/10/06","","2025/10/11","purple"
"L0BTLFD-36","Story","L0BTLFD-8","Chuẩn bị slide thuyết trình.","To Do","PHAM VAN PHU","L0BTLFD Sprint 2","","2025/10/06","","2025/10/11","purple"
